| 0001 | {{#icon:001}} | [[Bisasam]] | Bulbasaur | Bulbizarre | {{Ruby|フシギダネ|Fushigidane}} | {{Ruby|이상해씨|Isanghessi}} | {{Ruby|妙蛙種子 / 妙蛙种子|Miàowāzhǒngzǐ}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0002 | {{#icon:002}} | [[Bisaknosp]] | Ivysaur | Herbizarre | {{Ruby|フシギソウ|Fushigisou}} | {{Ruby|이상해풀|Isanghepul}} | {{Ruby|妙蛙草 / 妙蛙草|Miàowācǎo}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0003 | {{#icon:003}} | [[Bisaflor]] | Venusaur | Florizarre | {{Ruby|フシギバナ|Fushigibana}} | {{Ruby|이상해꽃|Isanghekkot}} | {{Ruby|妙蛙花 / 妙蛙花|Miàowāhuā}} | {{#ic:Pflanze}}&nbsp;{{#ic:Gift}}
| 0004 | {{#icon:004}} | [[Glumanda]] | Charmander | Salamèche | {{Ruby|ヒトカゲ|Hitokage}} | {{Ruby|파이리|Fairit}} | {{Ruby|小火龍 / 小火龙|Xiǎohuǒlóng}} | {{#ic:Feuer}}
| 0005 | {{#icon:005}} | [[Glutexo]] | Charmeleon | Reptincel | {{Ruby|リザード|Lizardo}} | {{Ruby|리자드|Rizard}} | {{Ruby|火恐龍 / 火恐龙|Huǒkǒnglóng}} | {{#ic:Feuer}}
| 0006 | {{#icon:006}} | [[Glurak]] | Charizard | Dracaufeu | {{Ruby|リザードン|Lizardon}} | {{Ruby|리자몽|Rizamon}} | {{Ruby|噴火龍 / 喷火龙|Pēnhuǒlóng}} | {{#ic:Feuer}}&nbsp;{{#ic:Flug}}
| 0007 | {{#icon:007}} | [[Schiggy]] | Squirtle | Carapuce | {{Ruby|ゼニガメ|Zenigame}} | {{Ruby|꼬부기|Kkobugi}} | {{Ruby|傑尼龜 / 杰尼龟|Jiéníguī}} | {{#ic:Wasser}}
| 0008 | {{#icon:008}} | [[Schillok]] | Wartortle | Carabaffe | {{Ruby|カメール|Kameil}} | {{Ruby|어니부기|Eonibugi}} | {{Ruby|卡咪龜 / 卡咪龟|Kǎmīguī}} | {{#ic:Wasser}}
| 0009 | {{#icon:009}} | [[Turtok]] | Blastoise | Tortank | {{Ruby|カメックス|Kamex}} | {{Ruby|거북왕|Geobugwang}} | {{Ruby|水箭龜 / 水箭龟|Shuǐjiànguī}} | {{#ic:Wasser}}
| 0010 | {{#icon:010}} | [[Raupy]] | Caterpie | Chenipan | {{Ruby|キャタピー|Caterpie}} | {{Ruby|캐터피|Caterpie}} | {{Ruby|綠毛蟲 / 绿毛虫|Lǜmáochóng}} | {{#ic:Käfer}}
| 0011 | {{#icon:011}} | [[Safcon]] | Metapod | Chrysacier | {{Ruby|トランセル|Transel}} | {{Ruby|단데기|Tandegi}} | {{Ruby|鐵甲蛹 / 铁甲蛹|Tiějiǎyǒng}} | {{#ic:Käfer}}
| 0012 | {{#icon:012}} | [[Smettbo]] | Butterfree | Papilusion | {{Ruby|バタフリー|Butterfree}} | {{Ruby|버터플|Butterfle}} | {{Ruby|巴大蝶 / 巴大蝶|Bādàdié}} | {{#ic:Käfer}}&nbsp;{{#ic:Flug}}
| 0013 | {{#icon:013}} | [[Hornliu]] | Weedle | Aspicot | {{Ruby|ビードル|Beedle}} | {{Ruby|뿔충이|Ppulchungi}} | {{Ruby|獨角蟲 / 独角虫|Dújiǎochóng}} | {{#ic:Käfer}}&nbsp;{{#ic:Gift}}
| 0014 | {{#icon:014}} | [[Kokuna]] | Kakuna | Coconfort | {{Ruby|コクーン|Cocoon}} | {{Ruby|딱충이|Ttakchungi}} | {{Ruby|鐵殼蛹 / 铁壳蛹|Tiěkéyǒng}} | {{#ic:Käfer}}&nbsp;{{#ic:Gift}}
| 0015 | {{#icon:015}} | [[Bibor]] | Beedrill | Dardargnan | {{Ruby|スピアー|Spear}} | {{Ruby|독침붕|Tokchimbung}} | {{Ruby|大針蜂 / 大针蜂|Dàzhēnfēng}} | {{#ic:Käfer}}&nbsp;{{#ic:Gift}}
| 0016 | {{#icon:016}} | [[Taubsi]] | Pidgey | Roucool | {{Ruby|ポッポ|Poppo}} | {{Ruby|구구|Gugu}} | {{Ruby|波波 / 波波|Bōbō}} | {{#ic:Normal}}&nbsp;{{#ic:Flug}}
